Country,Employment,FormalEducation,DevType,YearsCodingProf,EducationTypes,Age,Salary,ConvertedSalary
United Kingdom,Employed full-time,Medium,Back-end developer,10,"Taught yourself a new language, framework, or tool without taking a formal course",30,90000.0,125014.0
United States,Employed full-time,Medium,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,76000.0,76000.0
United States,Employed full-time,Medium,Full-stack developer,10,"Taught yourself a new language, framework, or tool without taking a formal course",30,85000.0,85000.0
United Kingdom,Employed full-time,Medium,Back-end developer,19,Completed an industry certification program (e.g. MCPD),40,60000.0,83342.0
United States,Employed full-time,Medium,Back-end developer,10,Taken an online course in programming or software development (e.g. a MOOC),30,130000.0,130000.0
India,Employed full-time,Medium,Back-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",21,8000.0,1500.0
United States,Employed full-time,Medium,Educator or academic researcher,1,Completed an industry certification program (e.g. MCPD),30,95000.0,95000.0
United States,Employed full-time,Medium,Full-stack developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,80000.0,80000.0
India,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,29000.0,5448.0
United States,Employed part-time,Medium,Full-stack developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,4200.0,50400.0
United States,Employed full-time,Medium,Back-end developer,13,Taken an online course in programming or software development (e.g. a MOOC),40,130000.0,130000.0
United States,Employed full-time,Medium,Mobile developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,141000.0,141000.0
United Kingdom,Employed full-time,Low,Back-end developer,19,Taken a part-time in-person course in programming or software development,40,73100.0,101539.0
United States,Employed full-time,Medium,Data scientist or machine learning specialist,7,Participated in a full-time developer training program or bootcamp,30,40000.0,40000.0
United States,Employed full-time,Medium,Back-end developer,5,Completed an industry certification program (e.g. MCPD),30,102000.0,102000.0
United Kingdom,Employed full-time,Medium,Full-stack developer,1,Taken an online course in programming or software development (e.g. a MOOC),30,25000.0,34726.0
United Kingdom,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,40000.0,55562.0
Germany,Employed full-time,Low,DevOps specialist,10,"Taught yourself a new language, framework, or tool without taking a formal course",30,3850.0,4196.5
United States,Employed full-time,Medium,Front-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),30,75000.0,75000.0
United Kingdom,Employed full-time,Medium,Full-stack developer,13,Completed an industry certification program (e.g. MCPD),40,51000.0,70841.0
India,Employed full-time,High,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",21,50000.0,9396.0
United States,Employed full-time,Medium,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),40,130000.0,130000.0
United States,Employed full-time,Medium,Full-stack developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,87000.0,87000.0
United States,Employed full-time,High,Data scientist or machine learning specialist,10,Taken an online course in programming or software development (e.g. a MOOC),40,300000.0,300000.0
India,Employed full-time,Medium,Mobile developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",21,15000.0,2820.0
Germany,Employed full-time,High,Data scientist or machine learning specialist,1,Taken an online course in programming or software development (e.g. a MOOC),30,72000.0,1000000.0
India,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,850000.0,11738.5
India,Employed full-time,High,Back-end developer,5,Received on-the-job training in software development,30,78000.0,14652.0
United States,Employed full-time,Medium,Mobile developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,150000.0,150000.0
United States,Employed full-time,Medium,DevOps specialist,22,Completed an industry certification program (e.g. MCPD),40,132000.0,132000.0
United States,Employed full-time,Medium,Back-end developer,25,Taken a part-time in-person course in programming or software development,50,107000.0,107000.0
United States,Employed full-time,Medium,Back-end developer,16,Taken an online course in programming or software development (e.g. a MOOC),40,115000.0,115000.0
Germany,Employed full-time,Low,Back-end developer,10,Taken an online course in programming or software development (e.g. a MOOC),40,90000.0,110149.0
Germany,Employed full-time,Low,System administrator,1,"Taught yourself a new language, framework, or tool without taking a formal course",21,268882.0,1000000.0
India,Employed full-time,Medium,Back-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",30,46000.0,8640.0
United Kingdom,Employed full-time,Medium,Front-end developer,13,"Taught yourself a new language, framework, or tool without taking a formal course",40,60000.0,83342.0
Germany,Employed part-time,Low,Desktop or enterprise applications developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",21,450.0,6612.0
United States,Employed full-time,Medium,Back-end developer,13,Received on-the-job training in software development,40,102000.0,102000.0
United States,Employed full-time,Medium,Back-end developer,10,Taken an online course in programming or software development (e.g. a MOOC),30,122300.0,122300.0
United States,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),21,68500.0,68500.0
United Kingdom,Employed full-time,Medium,Back-end developer,22,Taken a part-time in-person course in programming or software development,40,54000.0,75008.0
India,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),21,2200000.0,34440.0
United States,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),21,94000.0,94000.0
United States,Employed full-time,Medium,Back-end developer,1,Taken a part-time in-person course in programming or software development,30,120000.0,120000.0
United States,Employed full-time,Medium,Back-end developer,30,Taken an online course in programming or software development (e.g. a MOOC),50,170000.0,170000.0
Germany,Employed full-time,Medium,Back-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",21,3146.0,46200.0
India,Employed full-time,High,Front-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",30,20000.0,3756.0
United Kingdom,Employed full-time,Medium,Back-end developer,30,Taken an online course in programming or software development (e.g. a MOOC),50,55000.0,76397.0
United States,Employed full-time,Medium,Back-end developer,1,Completed an industry certification program (e.g. MCPD),21,60000.0,60000.0
India,Employed full-time,Low,Full-stack developer,10,Taken an online course in programming or software development (e.g. a MOOC),40,900000.0,169068.0
