Country,Employment,FormalEducation,DevType,YearsCodingProf,EducationTypes,Age,Salary,ConvertedSalary
United States,Employed full-time,Medium,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,125000.0,125000.0
Germany,Employed full-time,High,Full-stack developer,10,Received on-the-job training in software development,30,90000.0,110149.0
Canada,Employed full-time,Medium,Back-end developer,19,Taken an online course in programming or software development (e.g. a MOOC),40,135000.0,108704.0
United States,Employed full-time,Medium,Back-end developer,16,Taken a part-time in-person course in programming or software development,40,200000.0,200000.0
United States,Employed full-time,Medium,Designer,16,"Taught yourself a new language, framework, or tool without taking a formal course",40,140000.0,140000.0
United States,Employed full-time,Medium,Back-end developer,30,"Taught yourself a new language, framework, or tool without taking a formal course",60,142000.0,142000.0
United States,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,88000.0,88000.0
Germany,Employed full-time,Low,Back-end developer,5,Taken a part-time in-person course in programming or software development,30,1200.0,17628.0
United States,Employed part-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),21,50000.0,2000000.0
United States,Employed full-time,Medium,Front-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",21,110000.0,110000.0
Germany,Employed full-time,Medium,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),40,42000.0,616836.0
India,Employed full-time,Medium,Back-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",21,48000.0,9012.0
United States,Employed full-time,Medium,Data scientist or machine learning specialist,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,83000.0,83000.0
United States,Employed full-time,Medium,Back-end developer,10,Taken an online course in programming or software development (e.g. a MOOC),30,72000.0,72000.0
United States,Employed full-time,Medium,Full-stack developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,53000.0,53000.0
United States,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,85000.0,85000.0
India,Employed full-time,Medium,Back-end developer,19,"Taught yourself a new language, framework, or tool without taking a formal course",40,100000.0,18780.0
United States,Employed full-time,High,DevOps specialist,5,Received on-the-job training in software development,30,75000.0,75000.0
United Kingdom,Employed full-time,Medium,DevOps specialist,7,Taken an online course in programming or software development (e.g. a MOOC),30,57000.0,79175.0
United States,Employed full-time,Medium,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,72000.0,72000.0
United Kingdom,Employed full-time,Medium,DevOps specialist,1,Received on-the-job training in software development,21,34500.0,47922.0
United States,Employed part-time,High,DevOps specialist,5,Participated in a full-time developer training program or bootcamp,40,120000.0,120000.0
United States,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,107000.0,107000.0
United States,Employed full-time,Medium,Designer,5,Taken an online course in programming or software development (e.g. a MOOC),30,110000.0,110000.0
United States,Employed full-time,Medium,Front-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),30,85000.0,85000.0
India,Employed full-time,Medium,Mobile developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,30000.0,5640.0
United Kingdom,Employed full-time,High,Back-end developer,22,"Taught yourself a new language, framework, or tool without taking a formal course",40,70000.0,97233.0
United States,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),30,96000.0,96000.0
United States,Employed full-time,Medium,Back-end developer,7,Received on-the-job training in software development,40,60000.0,60000.0
United States,Employed full-time,Medium,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,94000.0,94000.0
United States,Employed part-time,Low,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",21,130.0,6500.0
